date,temperature,network,turbine,exchanged,T1,T2,T3,T4,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
2019-07-10 00:00:00,40.48202,2118.4834,6343.105,0,0,727.1475,649.1599,192.24487,61.837143,76.99554,150.08762,26.283224,147.98952,10.945922,51.053864,222.96826,164.07498,423.10138,369.3639,8.099657
2019-07-10 01:00:00,41.3603,1827.4323,6180.4614,0,0,716.9823,640.1982,191.41539,49.199726,74.962494,151.17734,25.567593,147.95699,10.848336,49.866566,225.39166,163.81476,421.44238,366.06223,8.538795
2019-07-10 02:00:00,40.36817,1749.5747,6343.105,0,0,707.14233,630.4559,186.91016,53.31461,73.222206,148.60757,25.7465,147.92445,10.60437,48.093746,241.81866,163.76596,415.11557,353.31094,7.9370136
2019-07-10 03:00:00,42.85662,2128.8926,6343.105,0,0,708.2971,633.13947,186.48729,43.913803,75.07634,146.50946,25.095926,147.71303,10.75075,47.914837,230.30351,163.86354,424.923,353.76636,8.522531
2019-07-10 04:00:00,42.30363,1697.5287,6343.105,0,0,712.8674,638.8808,189.07332,46.483574,74.116745,150.16895,32.691387,147.89194,10.327876,48.500355,234.0118,164.10751,419.18167,359.68658,8.18098
2019-07-10 05:00:00,42.88915,774.86725,6343.105,0,0,711.12714,636.44116,195.82304,41.311504,75.64559,155.63377,37.01771,147.95699,10.425462,49.44369,261.2058,164.4328,412.07413,356.18976,8.685175
2019-07-10 06:00:00,38.31886,1956.0996,6180.4614,0,0,877.658,781.9585,209.09476,70.798805,75.011284,168.69406,45.995644,147.95699,10.246554,199.25482,239.76936,154.77177,429.99747,359.6053,50.89122
2019-07-10 07:00:00,35.846676,2568.1606,6343.105,0,0,875.3648,779.5025,203.10947,59.934208,75.04381,162.18832,44.48306,147.89194,10.311612,227.39218,228.77466,124.81279,393.71167,365.94836,55.461506
2019-07-10 08:00:00,33.878685,2771.7578,6180.4614,0,0,928.5167,825.09155,145.45229,74.71852,75.95462,103.9456,60.340816,147.95699,19.696154,249.57678,236.58156,124.877846,402.55945,370.24216,61.788353
2019-07-10 09:00:00,32.414894,2611.8792,6180.4614,0,0,902.6076,802.5492,145.84262,66.06588,75.141396,105.47445,56.74639,147.95699,20.476845,201.0927,237.67128,127.04101,393.79297,388.05164,61.788353
2019-07-10 10:00:00,31.21133,2875.4434,6180.4614,0,0,873.64075,776.20087,145.20831,81.51703,76.101,103.86428,56.112083,147.7293,20.590694,138.83267,229.165,133.61182,408.54477,386.31137,57.754784
2019-07-10 11:00:00,30.658342,2606.0403,6017.8174,0,0,915.2125,812.3078,143.1102,52.42007,76.37749,101.2945,71.82346,147.84314,20.216616,194.00142,232.98712,164.35149,430.14386,386.49026,60.926334
2019-07-10 12:00:00,29.812593,2946.6326,6017.8174,0,0,960.55756,850.54535,147.59918,80.60623,74.89743,107.18221,81.4845,147.95699,18.704027,235.36174,225.71695,164.28642,436.29178,394.63873,57.6572
2019-07-10 13:00:00,29.3084,2772.5874,5855.174,0,0,863.0364,766.5886,156.56085,46.87392,75.8733,115.18428,68.45674,147.79436,20.769604,133.72566,234.80873,164.4328,432.6323,393.80923,42.71024
2019-07-10 14:00:00,29.27587,2992.4329,5855.174,0,0,878.89417,780.7712,148.72142,76.39375,74.66973,108.548416,69.82295,147.69676,21.76173,113.46026,232.6293,161.24498,436.79596,389.88953,50.273174
2019-07-10 15:00:00,29.633684,2777.597,5855.174,0,0,886.68475,787.30945,144.24872,63.902718,74.55588,104.4498,54.924786,147.7293,21.810522,135.49847,231.70226,154.0724,431.44498,389.67807,61.80461
2019-07-10 16:00:00,30.365582,3227.2742,5855.174,0,0,841.92523,749.96643,151.66527,60.763695,76.5564,109.6056,53.900127,147.7293,16.345694,160.85464,227.14822,154.0724,433.5106,387.17337,24.168856
2019-07-10 17:00:00,31.829374,3251.004,5855.174,0,0,909.6663,807.54236,138.24716,77.841286,74.31191,98.67594,61.365475,147.95699,12.751267,175.60643,223.60258,154.0724,434.14487,391.15814,60.584785
2019-07-10 18:00:00,28.690351,2292.935,6017.8174,0,0,887.85583,787.76483,136.1816,46.597424,73.580025,97.71635,71.595764,147.82687,12.588623,153.94228,221.4394,154.0724,427.36264,390.10098,64.74847
2019-07-10 19:00:00,34.44794,2742.2056,5855.174,0,0,912.04095,808.76215,149.56717,49.24852,73.35232,110.370026,60.357086,147.8594,12.360923,202.44264,225.66817,154.0724,433.4943,389.40158,63.235878
2019-07-10 20:00:00,38.66041,2458.2297,6017.8174,0,0,846.772,753.31696,190.6347,53.16823,75.10887,149.89246,27.324144,148.00578,12.263336,154.0724,231.83235,154.0724,430.40408,376.48767,49.73645
2019-07-10 21:00:00,38.806793,1644.6533,6017.8174,0,0,728.9854,649.9894,198.18137,43.279495,73.7264,159.48843,26.673569,148.20096,12.019371,54.013977,229.84811,154.0724,424.38623,369.8518,10.067646
2019-07-10 22:00:00,40.644665,2285.8599,6180.4614,0,0,747.3804,667.4573,197.22177,82.37904,74.65347,157.29274,26.950064,148.54251,11.807935,47.882313,229.1162,154.0724,434.8442,367.36337,8.538795
2019-07-10 23:00:00,39.977825,2514.0327,6180.4614,0,0,736.3369,656.2674,191.28528,67.92001,74.00289,152.0556,25.307364,148.77022,11.596498,45.637825,229.0837,154.0724,435.2834,365.7044,8.197244
2019-07-11 00:00:00,40.124207,2447.4138,6343.105,0,0,741.31384,661.1955,192.65147,73.628815,74.88117,152.39716,26.689835,148.85153,10.945922,45.556507,228.18915,154.0724,439.90247,362.85815,8.571324
2019-07-11 01:00:00,43.507195,2253.38,6180.4614,0,0,727.2126,650.0056,195.15619,81.41945,74.37697,155.894,25.713972,127.17113,9.579715,45.410126,227.79878,154.0724,437.98328,357.42584,8.164715
2019-07-11 02:00:00,44.076447,2066.0144,6343.105,0,0,703.8244,630.8299,198.79942,66.19599,76.08473,157.91078,25.453741,122.29182,9.303221,45.377598,227.89638,154.0724,430.25772,344.2354,8.587588
2019-07-11 03:00:00,40.88863,2042.7074,6505.7485,0,0,716.23413,640.9789,190.71603,79.841805,75.07634,151.09602,25.242306,121.85267,9.124312,44.938457,253.96815,154.0724,438.16217,344.7071,8.538795
2019-07-11 04:00:00,39.2134,2209.6611,6343.105,0,0,721.4062,644.4595,192.58643,86.13611,75.51548,152.0556,32.187195,121.86894,8.864082,44.645702,241.94879,154.0724,433.5919,348.5455,8.18098
2019-07-11 05:00:00,38.43271,2005.2345,6343.105,0,0,700.01855,627.38184,196.70132,49.427425,74.8649,156.70721,37.19662,121.820145,9.042991,44.613174,242.38794,154.0724,425.16696,353.00192,9.059256
2019-07-11 06:00:00,35.358746,2471.5664,6343.105,0,0,836.3953,746.1769,208.37912,61.007656,74.44203,168.48262,42.18978,121.999054,9.140576,162.87141,242.11143,154.0724,442.66742,352.33508,48.532887
2019-07-11 07:00:00,33.50461,2402.8657,6343.105,0,0,876.9261,780.2995,214.85236,56.242203,73.889046,175.18355,50.468346,121.98279,10.148968,233.00339,240.40367,154.0724,418.8889,353.929,55.705475
2019-07-11 08:00:00,32.203457,2262.9597,6343.105,0,0,850.30133,756.7324,173.7848,59.77157,74.8649,133.54675,55.461506,122.01531,11.775405,173.1505,240.20851,154.0724,400.83545,354.53076,61.967255
2019-07-11 09:00:00,31.09748,2343.322,6180.4614,0,0,842.9499,750.21045,137.9544,54.518177,74.36071,98.26933,52.89174,121.98279,12.588623,182.61636,242.16023,154.0724,399.25778,356.9867,54.0953
2019-07-11 10:00:00,30.202938,2175.9453,6180.4614,0,0,787.4558,702.4257,144.75291,67.3345,74.32818,104.98653,53.233288,141.84158,10.685693,122.617096,242.29034,154.0724,396.2814,359.42636,24.103798
2019-07-11 11:00:00,29.09696,2073.0894,6180.4614,0,0,797.86505,711.4687,147.59918,48.77685,72.97823,109.036354,68.619385,147.55038,9.872474,175.94798,232.15765,154.0724,398.20062,365.96463,11.027245
2019-07-11 12:00:00,28.153627,2335.4011,6017.8174,0,0,927.50836,822.99347,148.57503,66.586334,75.07634,107.99543,81.43571,147.82687,9.303221,210.11943,228.74213,154.0724,436.34058,383.15607,59.41375
2019-07-11 13:00:00,27.925926,2580.6516,6180.4614,0,0,823.9368,732.7425,150.47797,50.777367,75.54801,109.36163,66.68392,147.69676,10.360405,107.71894,229.76678,154.0724,431.20102,383.335,34.545525
2019-07-11 14:00:00,28.49518,2952.4714,6017.8174,0,0,869.8837,773.3221,157.86198,62.17869,74.06795,117.90043,60.649845,147.43654,9.254428,144.62279,238.76099,154.0724,440.5693,387.1571,44.743286
2019-07-11 15:00:00,29.519835,2401.1904,6017.8174,0,0,842.81976,750.1454,156.46326,56.6976,76.94675,113.557846,56.307255,147.59918,9.026727,127.46389,225.6519,154.0724,441.12228,389.5317,37.09903
2019-07-11 16:00:00,32.3661,3169.3894,6017.8174,0,0,928.7607,825.3681,208.13516,61.674496,76.58893,165.5225,61.86967,147.8594,8.18098,223.4562,226.6115,154.0724,442.74872,393.01227,59.576397
2019-07-11 17:00:00,31.81311,2981.1943,6017.8174,0,0,895.53253,795.7507,178.33884,57.10421,75.8733,136.96228,51.883347,148.02205,7.6279907,182.97418,241.20064,154.0724,440.99222,391.5973,57.608402
2019-07-11 18:00:00,35.488857,2846.2976,6180.4614,0,0,856.92096,761.77435,174.14262,52.89174,75.72692,133.22148,68.89588,147.95699,7.676783,124.34112,260.19742,154.0724,426.58194,372.61676,60.503464
2019-07-11 19:00:00,38.87185,2849.209,6017.8174,0,0,905.53516,806.17615,177.23286,52.30622,75.72692,135.8563,59.739037,147.87567,7.9370136,195.22125,265.646,154.0724,437.1863,387.43362,60.129383
2019-07-11 20:00:00,40.644665,2530.6875,6017.8174,0,0,837.46875,745.7052,198.75063,45.995644,76.36123,156.93492,26.088055,147.76181,7.3840246,148.70515,266.37787,154.0724,427.34637,368.2091,55.136223
2019-07-11 21:00:00,42.18978,1776.6387,6180.4614,0,0,770.8336,687.3161,203.22333,39.92903,75.8733,161.55402,25.63265,147.95699,7.156324,78.83341,261.90518,154.0724,423.15018,361.9636,40.72599
2019-07-11 22:00:00,42.71024,2570.6492,6180.4614,0,0,736.69476,658.2842,199.28735,79.15869,75.54801,158.12222,25.274834,148.02205,7.0750017,47.23174,263.01117,154.0724,430.90826,363.26477,9.319485
2019-07-11 23:00:00,44.954723,2319.5923,6180.4614,0,0,730.04254,652.429,190.37448,75.5968,75.51548,149.63222,25.713972,148.1847,7.009944,48.14254,261.51483,154.0724,425.26453,362.40274,8.132186
2019-07-12 00:00:00,50.842426,2305.8489,6180.4614,0,0,740.1916,662.09,187.82097,90.755196,75.15766,147.19257,25.795294,148.20096,6.8635645,47.573288,261.27087,154.0724,434.6816,357.27945,8.55506
2019-07-12 01:00:00,49.638863,2645.5952,6180.4614,0,0,730.4167,652.3314,191.26901,73.74266,75.84077,150.15268,25.291098,148.21721,6.5057487,47.085358,261.95398,154.0724,434.55148,356.1247,8.18098
2019-07-12 02:00:00,47.866047,2134.3086,6343.105,0,0,721.1297,644.9799,187.72337,64.9599,75.97088,146.55826,25.242306,148.3636,6.47322,47.687138,260.0673,154.0724,429.1517,353.63623,8.717704
2019-07-12 03:00:00,44.629436,2378.2903,6180.4614,0,0,718.1208,642.8656,187.60953,70.13197,76.06847,146.52573,25.811558,148.00578,6.587071,48.01243,254.83017,154.0724,420.92194,352.3676,8.2623005
2019-07-12 04:00:00,43.799953,1852.8372,6343.105,0,0,699.25415,626.25964,190.11424,57.624672,76.41002,148.80273,32.21972,148.23349,6.47322,47.524494,231.32816,154.0724,386.5228,356.4337,8.55506
2019-07-12 05:00:00,39.750126,1879.9011,6343.105,0,0,687.07214,614.4354,190.60217,46.808865,74.03542,151.97429,37.212883,148.3636,6.2943115,45.54024,229.31139,154.0724,380.8628,356.38492,8.685175
2019-07-12 06:00:00,36.822536,2357.472,6343.105,0,0,734.0599,654.9337,199.43373,59.088467,74.8649,159.40712,48.874435,148.29854,5.9039674,75.28778,240.06213,154.0724,398.8512,352.85553,8.164715
2019-07-12 07:00:00,34.724434,2449.4958,6343.105,0,0,754.74817,674.2395,207.2569,57.8849,75.19019,166.61223,47.313057,148.29854,5.936496,121.21836,233.32869,154.0724,392.10147,354.44943,13.938566
2019-07-12 08:00:00,33.602192,2465.321,6180.4614,0,0,881.2199,784.20294,164.87195,63.49611,75.74318,123.91825,52.143578,148.26602,8.294829,222.98454,230.82396,154.0724,402.90103,357.26318,54.76214
2019-07-12 09:00:00,32.88656,2730.121,6180.4614,0,0,872.1444,775.2413,141.92291,57.46203,75.499214,101.847496,54.436855,148.08711,9.059256,220.60994,231.79984,154.0724,392.8171,362.40274,54.225414
2019-07-12 10:00:00,31.92696,2811.7358,6180.4614,0,0,852.36694,758.50525,146.44441,61.219093,75.12513,106.38526,53.347137,147.81061,7.3352323,169.88136,227.91264,137.49901,397.51752,366.27365,57.120472
2019-07-12 11:00:00,30.609547,1655.4854,5855.174,0,0,878.06464,781.3079,146.36308,57.90116,75.90582,105.360596,67.854965,147.5829,8.083392,184.35666,228.33551,139.62962,423.9634,367.26578,54.111565
2019-07-12 12:00:00,29.536098,2433.6704,6017.8174,0,0,897.2241,794.5959,137.97067,66.86283,75.48295,97.01698,95.162834,147.38774,8.067128,155.68257,228.22168,139.62962,432.1606,374.7311,58.21019
2019-07-12 13:00:00,29.227076,2591.8904,5855.174,0,0,859.8485,764.8158,143.63066,44.141502,74.23059,104.026924,78.18284,147.25763,7.709312,128.2283,226.62775,139.62962,428.0945,381.02545,57.81984
2019-07-12 14:00:00,29.812593,3620.3188,5855.174,0,0,944.2932,839.20905,146.33055,56.047024,74.23059,106.320206,69.7091,147.09499,6.6196,237.06947,237.55742,139.62962,446.81482,400.5264,57.754784
2019-07-12 15:00:00,31.09748,3367.164,5855.174,0,0,899.0457,799.31256,144.10233,68.180244,74.97875,103.96186,68.570595,147.01366,9.872474,156.73976,229.88063,139.62962,434.97437,399.45297,56.81145
2019-07-12 16:00:00,32.707653,3260.161,5692.5303,0,0,936.2261,833.0123,136.83215,85.160255,75.19019,96.529045,62.390133,146.78595,5.9039674,221.95988,224.8712,139.62962,438.61755,394.102,56.356052
2019-07-12 17:00:00,29.3084,3335.53,5692.5303,0,0,874.8443,779.0471,131.67635,73.30352,74.8649,91.649734,53.932655,146.78595,1.4312648,156.9024,245.49443,139.62962,439.07297,386.92938,53.72122
2019-07-12 18:00:00,34.952133,2740.5303,5692.5303,0,0,859.198,764.70197,128.9602,52.50139,74.425766,89.19382,69.33502,146.78595,1.4150003,132.55463,247.26724,139.62962,424.15857,389.69437,57.59214
2019-07-12 19:00:00,40.22179,3252.6628,5855.174,0,0,850.93567,757.7083,150.67314,53.656166,74.88117,110.17485,66.846565,147.16005,1.398736,137.87308,248.60094,139.62962,437.75555,393.46768,42.824093
2019-07-12 20:00:00,42.352425,2564.8264,5855.174,0,0,788.46423,704.55634,183.3808,63.0895,74.99502,142.93129,27.194029,147.42027,1.4150003,53.31461,231.63718,139.62962,430.04626,379.35022,51.93214
2019-07-12 21:00:00,43.89754,1445.6262,6017.8174,0,0,748.6328,668.2705,193.57855,55.884384,75.27151,153.40555,26.592249,147.6805,1.4637934,53.44473,225.97719,139.62962,426.33798,374.35706,27.665697
2019-07-12 22:00:00,45.556507,2240.0596,6017.8174,0,0,733.4419,654.88495,193.36711,75.35284,75.56427,152.64113,25.502535,147.82687,1.4475291,52.28996,227.22955,139.62962,428.062,370.2259,7.9044847
2019-07-12 23:00:00,46.808865,2461.9868,6180.4614,0,0,712.3795,636.71765,191.10637,55.884384,76.00341,150.31532,25.827824,148.00578,1.4475291,52.04599,222.52914,139.62962,418.77505,363.5087,8.473738
2019-07-13 00:00:00,46.304665,2476.966,6180.4614,0,0,721.11346,645.41907,188.8619,70.489784,75.79197,148.52625,26.998857,147.94072,1.4475291,53.00559,216.23482,139.62962,420.125,359.11734,8.0346
2019-07-13 01:00:00,47.54076,2451.9841,6180.4614,0,0,708.0206,634.2129,190.82988,57.006622,76.62146,149.69728,26.071789,147.89194,1.4637934,51.476738,214.0554,139.62962,420.4015,348.83823,8.896611
2019-07-13 02:00:00,49.36237,2118.4834,6343.105,0,0,703.80817,631.7245,189.08958,54.144096,76.06847,148.93285,25.242306,147.98952,1.4800578,51.346622,226.17235,139.62962,418.3359,351.45682,8.2623005
